Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140140,01/09/2017 14:00,DECEPTIVE PRACTICE,APARTMENT,FALSE,TRUE,4,7
JA140288,02/03/2017 13:00,THEFT,DRUG STORE,TRUE,FALSE,15,28
JA140374,02/03/2017 13:00,BURGLARY,RESIDENCE,FALSE,FALSE,25,36
JA140294,02/03/2017 12:04,OTHER OFFENSE,OTHER,FALSE,FALSE,11,28
JA140311,02/03/2017 00:01,BATTERY,RESIDENCE,FALSE,TRUE,10,24
JA140452,02/03/2017 15:00,NARCOTICS,SIDEWALK,TRUE,FALSE,10,24
JA140377,02/02/2017 07:00,BATTERY,OTHER,FALSE,FALSE,10,28
JA140520,01/27/2017 12:00:00 AM,DECEPTIVE PRACTICE,DEPARTMENT STORE,FALSE,FALSE,6,21
JA139743,02/02/2017 21:10,MOTOR VEHICLE THEFT,STREET,TRUE,FALSE,18,27
JA140383,02/03/2017 14:14,BURGLARY,RESIDENCE,FALSE,FALSE,25,36
JA140472,02/03/2017 14:55,CRIMINAL TRESPASS,RESTAURANT,TRUE,FALSE,19,46
JA140465,02/03/2017 15:40,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,15,29
JA140486,01/16/2017 06:00:00 AM,BURGLARY,OTHER,FALSE,FALSE,25,29
JA140471,02/03/2017 15:00,ROBBERY,SIDEWALK,FALSE,FALSE,17,33
JA140437,02/03/2017 14:55,BATTERY,RESIDENCE,TRUE,TRUE,9,14
JA140483,02/03/2017 15:06,NARCOTICS,STREET,TRUE,FALSE,7,15
JA140469,02/02/2017 10:30,THEFT,STREET,FALSE,FALSE,14,1
JA140209,02/03/2017 11:30,ASSAULT,GAS STATION,TRUE,FALSE,6,17
JA140429,02/03/2017 14:30,BATTERY,CTA BUS,TRUE,FALSE,16,36
JA139817,02/02/2017 15:00,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,1,42
JA140324,02/01/2017 10:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,16,45
JA140315,01/31/2017 02:20:00 PM,DECEPTIVE PRACTICE,DEPARTMENT STORE,FALSE,FALSE,18,42
JA140331,02/02/2017 21:00,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,16,45
JA155873,02/03/2017 13:00,BATTERY,CHA APARTMENT,FALSE,FALSE,2,3
JA155925,01/20/2017 09:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,2,20
JA139703,02/02/2017 21:15,CRIMINAL DAMAGE,APARTMENT,FALSE,FALSE,11,37
JA140447,02/03/2017 15:15,BATTERY,SIDEWALK,TRUE,FALSE,11,28
JA140419,01/27/2017 11:45:00 PM,ASSAULT,APARTMENT,FALSE,FALSE,3,20
JA140466,02/03/2017 15:15,BATTERY,STREET,TRUE,TRUE,9,12
JA140551,02/03/2017 10:04,OTHER OFFENSE,OTHER,FALSE,FALSE,24,50
JA140397,02/03/2017 14:12,WEAPONS VIOLATION,STREET,TRUE,FALSE,11,28
JA140430,02/03/2017 15:09,BATTERY,OTHER,TRUE,FALSE,9,3
JA140485,02/03/2017 07:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,19,46
JA140494,01/31/2017 09:30:00 AM,ASSAULT,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,19,46
